index,cumulative_v_fraction,cumulative_c_fraction,symbol
487,0.462012,0.537988,c
488,0.463115,0.536885,v
489,0.462168,0.537832,c
490,0.463265,0.536735,v
491,0.462322,0.537678,c
492,0.461382,0.538618,c
493,0.462475,0.537525,v
494,0.463563,0.536437,v
495,0.464646,0.535354,v
496,0.463710,0.536290,c
497,0.464789,0.535211,v
498,0.463855,0.536145,c
499,0.464930,0.535070,v
500,0.464000,0.536000,c
501,0.465070,0.534930,v
502,0.464143,0.535857,c
503,0.465209,0.534791,v
504,0.464286,0.535714,c
505,0.465347,0.534653,v
506,0.464427,0.535573,c
507,0.465483,0.534517,v
508,0.464567,0.535433,c
509,0.465619,0.534381,v
510,0.464706,0.535294,c
511,0.463796,0.536204,c
512,0.462891,0.537109,c
513,0.463938,0.536062,v
514,0.463035,0.536965,c
515,0.464078,0.535922,v
516,0.463178,0.536822,c
517,0.464217,0.535783,v
518,0.463320,0.536680,c
519,0.464355,0.535645,v
520,0.463462,0.536538,c
521,0.464491,0.535509,v
522,0.465517,0.534483,v
523,0.464627,0.535373,c
524,0.465649,0.534351,v
525,0.464762,0.535238,c
526,0.463878,0.536122,c
527,0.464896,0.535104,v
528,0.464015,0.535985,c
529,0.463138,0.536862,c
530,0.464151,0.535849,v
531,0.465160,0.534840,v
532,0.464286,0.535714,c
533,0.465291,0.534709,v
534,0.464419,0.535581,c
535,0.463551,0.536449,c
536,0.462687,0.537313,c
537,0.461825,0.538175,c
538,0.462825,0.537175,v
539,0.461967,0.538033,c
540,0.462963,0.537037,v
541,0.462107,0.537893,c
542,0.463100,0.536900,v
543,0.462247,0.537753,c
544,0.463235,0.536765,v
545,0.464220,0.535780,v
546,0.463370,0.536630,c
547,0.464351,0.535649,v
548,0.465328,0.534672,v
549,0.464481,0.535519,c
550,0.465455,0.534545,v
551,0.464610,0.535390,c
552,0.463768,0.536232,c
553,0.462929,0.537071,c
554,0.462094,0.537906,c
555,0.463063,0.536937,v
556,0.462230,0.537770,c
557,0.463196,0.536804,v
558,0.462366,0.537634,c
559,0.461538,0.538462,c
560,0.462500,0.537500,v
561,0.461676,0.538324,c
562,0.462633,0.537367,v
563,0.461812,0.538188,c
564,0.462766,0.537234,v
565,0.461947,0.538053,c
566,0.461131,0.538869,c
567,0.460317,0.539683,c
568,0.459507,0.540493,c
569,0.460457,0.539543,v
570,0.461404,0.538596,v
571,0.460595,0.539405,c
572,0.461538,0.538462,v
573,0.460733,0.539267,c
574,0.459930,0.540070,c
575,0.459130,0.540870,c
576,0.458333,0.541667,c
577,0.459272,0.540728,v
578,0.458478,0.541522,c
579,0.459413,0.540587,v
580,0.458621,0.541379,c
581,0.459552,0.540448,v
582,0.460481,0.539519,v
583,0.459691,0.540309,c
584,0.460616,0.539384,v
585,0.459829,0.540171,c
586,0.460751,0.539249,v
587,0.459966,0.540034,c
588,0.460884,0.539116,v
589,0.460102,0.539898,c
590,0.461017,0.538983,v
591,0.460237,0.539763,c
592,0.461149,0.538851,v
593,0.462057,0.537943,v
594,0.461279,0.538721,c
595,0.460504,0.539496,c
596,0.461409,0.538591,v
597,0.460637,0.539363,c
598,0.461538,0.538462,v
599,0.462437,0.537563,v
600,0.461667,0.538333,c
601,0.462562,0.537438,v
602,0.463455,0.536545,v
603,0.462687,0.537313,c
604,0.463576,0.536424,v
605,0.462810,0.537190,c
606,0.463696,0.536304,v
607,0.462932,0.537068,c
608,0.462171,0.537829,c
609,0.463054,0.536946,v
610,0.462295,0.537705,c
611,0.463175,0.536825,v
612,0.462418,0.537582,c
613,0.461664,0.538336,c
614,0.460912,0.539088,c
615,0.460163,0.539837,c
616,0.461039,0.538961,v
617,0.461912,0.538088,v
618,0.461165,0.538835,c
619,0.462036,0.537964,v
620,0.461290,0.538710,c
621,0.462158,0.537842,v
622,0.461415,0.538585,c
623,0.462279,0.537721,v
624,0.461538,0.538462,c
625,0.462400,0.537600,v
626,0.461661,0.538339,c
627,0.462520,0.537480,v
628,0.461783,0.538217,c
629,0.461049,0.538951,c
630,0.461905,0.538095,v
631,0.461173,0.538827,c
632,0.462025,0.537975,v
633,0.461295,0.538705,c
634,0.462145,0.537855,v
635,0.461417,0.538583,c
636,0.462264,0.537736,v
637,0.461538,0.538462,c
638,0.460815,0.539185,c
639,0.461659,0.538341,v
640,0.460938,0.539063,c
641,0.461778,0.538222,v
642,0.461059,0.538941,c
643,0.460342,0.539658,c
644,0.461180,0.538820,v
645,0.460465,0.539535,c
646,0.461300,0.538700,v
647,0.460587,0.539413,c
648,0.461420,0.538580,v
649,0.460709,0.539291,c
650,0.460000,0.540000,c
